environment | time (ms),fast_sodium_current | i_Na (uA_per_mm2),L_type_Ca_channel | i_CaCa (uA_per_mm2),L_type_Ca_channel | i_CaK (uA_per_mm2),membrane | V (mV),plateau_potassium_current | i_Kp (uA_per_mm2),time_dependent_potassium_current | i_K (uA_per_mm2),time_independent_potassium_current | i_K1 (uA_per_mm2)
0,0,0,0,-84.624,1.10219e-10,0,0.0114546
0.01,-7.0978e-08,-6.67129e-07,5.66432e-11,-84.1363,1.39376e-10,-2.9956e-18,0.0130714
0.02,-1.41072e-07,-1.3589e-06,1.33045e-10,-83.6501,1.72578e-10,-1.18696e-17,0.0146106
0.03,-1.91469e-07,-2.07762e-06,2.30876e-10,-83.1655,2.10279e-10,-2.63211e-17,0.0160742
0.04,-2.445e-07,-2.82572e-06,3.51993e-10,-82.6822,2.52982e-10,-4.58406e-17,0.0174641
0.05,-3.08491e-07,-3.60575e-06,4.98452e-10,-82.2004,3.01239e-10,-6.96623e-17,0.0187816
0.06,-3.87888e-07,-4.42037e-06,6.72528e-10,-81.7198,3.5566e-10,-9.67079e-17,0.0200283
0.07,-4.86989e-07,-5.27239e-06,8.76735e-10,-81.2404,4.16916e-10,-1.25521e-16,0.0212054
0.08,-6.10746e-07,-6.1648e-06,1.11384e-09,-80.7621,4.85745e-10,-1.54193e-16,0.0223145
0.09,-7.64651e-07,-7.10068e-06,1.3869e-09,-80.285,5.62961e-10,-1.80266e-16,0.0233567
0.1,-9.56214e-07,-8.08332e-06,1.69927e-09,-79.8088,6.49459e-10,-2.00639e-16,0.0243335
0.11,-1.19473e-06,-9.11621e-06,2.05464e-09,-79.3336,7.46225e-10,-2.11438e-16,0.0252462
0.12,-1.4911e-06,-1.02031e-05,2.45709e-09,-78.8593,8.54343e-10,-2.07882e-16,0.0260963
0.13,-1.8589e-06,-1.13478e-05,2.91105e-09,-78.3858,9.75006e-10,-1.84111e-16,0.0268852
0.14,-2.3148e-06,-1.25545e-05,3.42142e-09,-77.913,1.10953e-09,-1.33001e-16,0.0276143
0.15,-2.87953e-06,-1.3828e-05,3.9937e-09,-77.4409,1.25935e-09,-4.595e-17,0.0282853
0.16,-3.57785e-06,-1.5172e-05,4.63348e-09,-76.9695,1.42605e-09,8.74e-17,0.0288996
0.17,-4.44079e-06,-1.65913e-05,5.34721e-09,-76.4987,1.61139e-09,2.79409e-16,0.0294588
0.18,-5.50629e-06,-1.80912e-05,6.14187e-09,-76.0284,1.81729e-09,5.44795e-16,0.0299645
0.19,-6.82052e-06,-1.96772e-05,7.02519e-09,-75.5586,2.04584e-09,9.01031e-16,0.0304182
0.2,-8.4399e-06,-2.13551e-05,8.0056e-09,-75.0892,2.29937e-09,1.36879e-15,0.0308215
0.21,-1.04329e-05,-2.31309e-05,9.0922e-09,-74.6201,2.58043e-09,1.97242e-15,0.0311762
0.22,-1.28831e-05,-2.50111e-05,1.0295e-08,-74.1514,2.89181e-09,2.74057e-15,0.0314837
0.23,-1.58925e-05,-2.70026e-05,1.16251e-08,-73.683,3.23661e-09,3.70687e-15,0.0317458
0.24,-1.95846e-05,-2.91126e-05,1.30943e-08,-73.2148,3.61819e-09,4.91063e-15,0.0319641
0.25,-2.41098e-05,-3.13487e-05,1.47157e-08,-72.7468,4.04027e-09,6.39777e-15,0.0321401
0.26,-2.96509e-05,-3.37191e-05,1.65035e-08,-72.279,4.50694e-09,8.22185e-15,0.0322755
0.27,-3.64299e-05,-3.62329e-05,1.84735e-08,-71.8112,5.02268e-09,1.04453e-14,0.0323719
0.28,-4.47142e-05,-3.88987e-05,2.06426e-08,-71.3436,5.59242e-09,1.31404e-14,0.0324309
0.29,-5.4826e-05,-4.17263e-05,2.3029e-08,-70.8759,6.22158e-09,1.63911e-14,0.0324541
0.3,-6.71534e-05,-4.47261e-05,2.56534e-08,-70.4083,6.9161e-09,2.02947e-14,0.032443
0.31,-8.21617e-05,-4.79084e-05,2.85371e-08,-69.9406,7.68253e-09,2.49632e-14,0.0323993
0.32,-0.000100417,-5.12854e-05,3.17046e-08,-69.4728,8.52803e-09,3.0527e-14,0.0323243
0.33,-0.00012259,-5.48686e-05,3.51818e-08,-69.0049,9.46049e-09,3.71352e-14,0.0322197
0.34,-0.000149498,-5.86718e-05,3.89975e-08,-68.5369,1.04886e-08,4.49611e-14,0.032087
0.35,-0.000182113,-6.27084e-05,4.31826e-08,-68.0687,1.16218e-08,5.42029e-14,0.0319275
0.36,-0.000221598,-6.69934e-05,4.77713e-08,-67.6002,1.28707e-08,6.50896e-14,0.0317427
0.37,-0.000269345,-7.15422e-05,5.28005e-08,-67.1315,1.42467e-08,7.78836e-14,0.031534
0.38,-0.000327013,-7.63712e-05,5.83106e-08,-66.6626,1.57624e-08,9.28864e-14,0.0313028
0.39,-0.000396569,-8.14983e-05,6.43457e-08,-66.1933,1.74318e-08,1.10444e-13,0.0310505
0.4,-0.000480357,-8.69416e-05,7.09533e-08,-65.7237,1.92701e-08,1.30952e-13,0.0307782
0.41,-0.000581152,-9.27213e-05,7.81863e-08,-65.2537,2.12941e-08,1.54865e-13,0.0304873
0.42,-0.000702241,-9.88577e-05,8.61009e-08,-64.7833,2.35224e-08,1.827e-13,0.0301791
0.43,-0.000847515,-0.000105374,9.47598e-08,-64.3125,2.59752e-08,2.15053e-13,0.0298546
0.44,-0.00102156,-0.000112292,1.0423e-07,-63.8411,2.8675e-08,2.52601e-13,0.0295152
0.45,-0.0012298,-0.000119638,1.14586e-07,-63.3692,3.16466e-08,2.96117e-13,0.0291618
0.46,-0.0014786,-0.000127438,1.25908e-07,-62.8967,3.49172e-08,3.46486e-13,0.0287955
0.47,-0.00177544,-0.00013572,1.38284e-07,-62.4236,3.85168e-08,4.04716e-13,0.0284174
0.48,-0.00212909,-0.000144514,1.5181e-07,-61.9497,4.24788e-08,4.71957e-13,0.0280285
0.49,-0.00254982,-0.000153852,1.6659e-07,-61.475,4.68398e-08,5.49517e-13,0.0276297
0.5,-0.00304958,-0.000163768,1.8274e-07,-60.9995,5.16408e-08,6.38893e-13,0.0272219
0.51,-0.00364235,-0.000174296,2.00383e-07,-60.523,5.69269e-08,7.41782e-13,0.0268059
0.52,-0.00434437,-0.000185477,2.19658e-07,-60.0454,6.27483e-08,8.60124e-13,0.0263825
0.53,-0.00517451,-0.000197349,2.40715e-07,-59.5666,6.91612e-08,9.96125e-13,0.0259525
0.54,-0.00615466,-0.000209957,2.63718e-07,-59.0865,7.62278e-08,1.1523e-12,0.0255165
0.55,-0.00731022,-0.000223346,2.88849e-07,-58.6049,8.40186e-08,1.33151e-12,0.0250752
0.56,-0.00867052,-0.000237566,3.16304e-07,-58.1215,9.26117e-08,1.53701e-12,0.0246291
0.57,-0.0102696,-0.000252668,3.46306e-07,-57.6362,1.02096e-07,1.77253e-12,0.0241788
0.58,-0.0121466,-0.00026871,3.79095e-07,-57.1487,1.12571e-07,2.04231e-12,0.0237247
0.59,-0.0143468,-0.000285753,4.1494e-07,-56.6587,1.24151e-07,2.35119e-12,0.0232672
0.6,-0.016922,-0.000303861,4.54142e-07,-56.1658,1.36967e-07,2.70472e-12,0.0228065
0.61,-0.019932,-0.000323106,4.97029e-07,-55.6697,1.51165e-07,3.10924e-12,0.0223429
0.62,-0.0234457,-0.000343562,5.43976e-07,-55.1698,1.6692e-07,3.57202e-12,0.0218766
0.63,-0.027542,-0.000365314,5.95397e-07,-54.6657,1.84428e-07,4.10139e-12,0.0214077
0.64,-0.0323119,-0.000388448,6.51761e-07,-54.1566,2.03922e-07,4.70695e-12,0.020936
0.65,-0.0378602,-0.000413065,7.136e-07,-53.6419,2.25676e-07,5.39981e-12,0.0204616
0.66,-0.0443074,-0.000439271,7.81515e-07,-53.1206,2.5001e-07,6.19275e-12,0.0199842
0.67,-0.0517919,-0.000467182,8.56194e-07,-52.5919,2.7731e-07,7.10067e-12,0.0195034
0.68,-0.0604737,-0.00049693,9.38429e-07,-52.0547,3.08036e-07,8.14087e-12,0.0190189
0.69,-0.0705372,-0.00052866,1.02914e-06,-51.5076,3.42746e-07,9.33365e-12,0.0185301
0.7,-0.0821956,-0.000562534,1.12939e-06,-50.9491,3.82125e-07,1.07029e-11,0.0180363
0.71,-0.0956958,-0.000598736,1.24044e-06,-50.3775,4.27011e-07,1.22767e-11,0.0175366
0.72,-0.111324,-0.000637473,1.36376e-06,-49.7908,4.78453e-07,1.40885e-11,0.0170301
0.73,-0.129415,-0.00067898,1.50112e-06,-49.1868,5.37766e-07,1.61785e-11,0.0165156
0.74,-0.150355,-0.000723528,1.65464e-06,-48.5627,6.06622e-07,1.85946e-11,0.0159917
0.75,-0.174598,-0.00077143,1.82688e-06,-47.9155,6.8717e-07,2.13955e-11,0.0154567
0.76,-0.202674,-0.000823051,2.02097e-06,-47.2416,7.82206e-07,2.46526e-11,0.014909
0.77,-0.235205,-0.00087882,2.24081e-06,-46.5368,8.95414e-07,2.84539e-11,0.0143463
0.78,-0.272919,-0.000939247,2.49122e-06,-45.7963,1.03172e-06,3.29092e-11,0.0137661
0.79,-0.316669,-0.00100493,2.7783e-06,-45.0146,1.19779e-06,3.81563e-11,0.0131658
0.8,-0.367452,-0.00107662,3.10985e-06,-44.1849,1.40283e-06,4.43704e-11,0.012542
0.81,-0.426426,-0.00115521,3.49597e-06,-43.2998,1.65975e-06,5.17769e-11,0.0118908
0.82,-0.494924,-0.00124181,3.94986e-06,-42.3504,1.987e-06,6.06686e-11,0.0112078
0.83,-0.574456,-0.0013378,4.48909e-06,-41.3262,2.41148e-06,7.14309e-11,0.0104877
0.84,-0.666673,-0.00144493,5.13726e-06,-40.2155,2.97325e-06,8.45775e-11,0.009724
0.85,-0.772832,-0.00156542,5.92673e-06,-39.0048,3.73324e-06,1.00802e-10,0.00890923
0.86,-0.895585,-0.00170217,6.90246e-06,-37.679,4.78661e-06,1.21053e-10,0.00803457
0.87,-1.03733,-0.00185891,8.12827e-06,-36.22,6.28696e-06,1.46648e-10,0.00708994
0.88,-1.20029,-0.00204051,9.69631e-06,-34.6077,8.48924e-06,1.79442e-10,0.00606677
0.89,-1.38646,-0.00225346,1.17423e-05,-32.8197,1.18306e-05,2.22081e-10,0.00496495
0.9,-1.59715,-0.00250628,1.44696e-05,-30.832,1.70862e-05,2.78381e-10,0.00380772
0.91,-1.83248,-0.00281022,1.81889e-05,-28.6198,2.568e-05,3.53897e-10,0.00266237
0.92,-2.09055,-0.00317978,2.33809e-05,-26.1593,4.03204e-05,4.56757e-10,0.00164556
0.93,-2.36656,-0.00363298,3.07971e-05,-23.4299,6.63336e-05,5.98856e-10,0.000877289
0.94,-2.65182,-0.0041907,4.16141e-05,-20.4178,0.000114501,7.97475e-10,0.00040035
0.95,-2.93319,-0.00487399,5.76552e-05,-17.1203,0.000207082,1.07733e-09,0.000158125
